EIN2,CENSUS_CSA_FIPS,CENSUS_CBSA_FIPS,CENSUS_CBSA_NAME,CENSUS_CBSA_LEGAL_NAME,CENSUS_CBSA_LEGAL_CODE,geometry,CENSUS_BLOCK_CODE,CENSUS_BLOCK_FIPS,CENSUS_BLOCK_NAME,CENSUS_URBAN_AREA,CENSUS_URBAN_AREA_CODE,CENSUS_URBAN_AREA_TYPE,CENSUS_FUNCTIONAL_STATUS,CENSUS_BLOCK_HOUSING_UNIT_COUNT,CENSUS_BLOCK_POPULATION_COUNT,CENSUS_STATE_FIPS,CENSUS_COUNTY_FIPS,CENSUS_TRACT_CODE,CENSUS_TRACT_FIPS,CENSUS_TRACT_NAME,CENSUS_STATE_ABBR,CENSUS_COUNTY_NAME,CENSUS_STATE_NAME,ORG_FISCAL_YEAR,ORG_ADDR_FULL,ORG_ADDR_MATCH,LONGITUDE,LATITUDE,ADDR_TYPE,GEOCODER_SCORE,GEOCODER_MATCH,METADATA_VERSION,METADATA_RELEASE_DATE
EIN-00-2034176,408.0,35620.0,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-74.50341|40.5733450000001,1013.0,340230001021013.0,Block 1013,U,63217.0,U,S,19.0,58.0,34.0,23.0,102.0,34023000102.0,Census Tract 1.02,NJ,Middlesex County,New Jersey,1989,"MIDDLESEX,NJ,08846-0000","08846, MIDDLESEX, NEW JERSEY",-74.50341,40.5733450000001,Postal,100.0,M,0.0,2024-06-24
EIN-00-2034450,176.0,16980.0,"Chicago-Naperville-Elgin, IL-IN-WI","Chicago-Naperville-Elgin, IL-IN-WI Metro Area",M1,-87.87141|42.010812,3018.0,170318065023018.0,Block 3018,U,16264.0,U,S,7.0,33.0,17.0,31.0,806502.0,17031806502.0,Census Tract 8065.02,IL,Cook County,Illinois,1989,"DES PLAINES,IL,60018-3212","60018-3212, DES PLAINES, ILLINOIS",-87.87141,42.010812,PostalExt,100.0,M,0.0,2024-06-24
EIN-00-2034469,408.0,35620.0,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.9744515|40.762413,1003.0,360610112011003.0,Block 1003,U,63217.0,U,S,302.0,361.0,36.0,61.0,11201.0,36061011201.0,Census Tract 112.01,NY,New York County,New York,1989,"NEW YORK,NY,10019-4107","10019-4107, NEW YORK, NEW YORK",-73.9744515,40.762413,PostalExt,100.0,M,0.0,2024-06-24
EIN-00-2034707,408.0,35620.0,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.987029|40.754052,1007.0,360610113001007.0,Block 1007,U,63217.0,U,S,0.0,0.0,36.0,61.0,11300.0,36061011300.0,Census Tract 113,NY,New York County,New York,1989,"NEW YORK,NY,10018-3404","10018-3404, NEW YORK, NEW YORK",-73.987029,40.754052,PostalExt,100.0,M,0.0,2024-06-24
EIN-00-2034739,408.0,35620.0,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.8424485|40.688586,1002.0,360810114001002.0,Block 1002,U,63217.0,U,S,0.0,0.0,36.0,81.0,11400.0,36081011400.0,Census Tract 114,NY,Queens County,New York,1989,"NY,NY,10177-0001","10177-0001, NEW YORK, NEW YORK",-73.8424485,40.688586,PostalExt,100.0,M,0.0,2024-06-24
EIN-00-2034828,288.0,26420.0,"Houston-The Woodlands-Sugar Land, TX","Houston-The Woodlands-Sugar Land, TX Metro Area",M1,-95.36788|29.7444,1029.0,482013125011029.0,Block 1029,U,40429.0,U,S,0.0,0.0,48.0,201.0,312501.0,48201312501.0,Census Tract 3125.01,TX,Harris County,Texas,1989,"HOUSTON,TX,77001-0000","77001, HOUSTON, TEXAS",-95.36788,29.7444,Postal,100.0,M,0.0,2024-06-24
EIN-00-2034947,408.0,35620.0,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-74.110221|40.747788,4048.0,340170127004048.0,Block 4048,U,63217.0,U,S,0.0,0.0,34.0,17.0,12700.0,34017012700.0,Census Tract 127,NJ,Hudson County,New Jersey,1989,"KEARNY,NJ,07032-4308","07032-4308, KEARNY, NEW JERSEY",-74.110221,40.747788,PostalExt,100.0,M,0.0,2024-06-24
EIN-00-2031337,408.0,35620.0,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.97791|40.74564,4001.0,360610078004001.0,Block 4001,U,63217.0,U,S,61.0,130.0,36.0,61.0,7800.0,36061007800.0,Census Tract 78,NY,New York County,New York,1989,"NEW YORK,NY,10016-9397","10016, NEW YORK, NEW YORK",-73.97791,40.74564,Postal,100.0,M,0.0,2024-06-24
EIN-00-2031206,408.0,35620.0,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.9764049999999|40.7516350000001,2008.0,360610092002008.0,Block 2008,U,63217.0,U,S,5.0,40.0,36.0,61.0,9200.0,36061009200.0,Census Tract 92,NY,New York County,New York,1989,"NEW YORK,NY,10168-0005","10168, NEW YORK, NEW YORK",-73.9764049999999,40.7516350000001,Postal,100.0,M,0.0,2024-06-24
EIN-00-2031050,408.0,35620.0,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.9728585|40.7925,6001.0,360610179006001.0,Block 6001,U,63217.0,U,S,340.0,656.0,36.0,61.0,17900.0,36061017900.0,Census Tract 179,NY,New York County,New York,1989,"NEW YORK,NY,10025-7493","10025-7493, NEW YORK, NEW YORK",-73.9728585,40.7925,PostalExt,100.0,M,0.0,2024-06-24
EIN-00-2030974,408.0,35620.0,"New York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA Metro Area",M1,-73.8900596178965|40.7613548453282,2003.0,360810309042003.0,Block 2003,U,63217.0,U,S,93.0,132.0,36.0,81.0,30904.0,36081030904.0,Census Tract 309.04,NY,Queens County,New York,2007,"JACKSON HEIGHTS,NY,11370","11370, JACKSON HEIGHTS, NEW YORK, NEW YORK",-73.8900596178965,40.7613548453282,PostalLoc,100.0,M,0.0,2024-06-24
